date,temperature_2m_mean,daylight_duration,sunshine_duration,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,location
2020-04-14 23:00:00+00:00,-0.43141642,49052.113,45440.27,0.0,0.0,6.28713,187.25316,25.48,"47.0148862689,9.2490818321"
2020-04-15 23:00:00+00:00,2.8248336,49246.688,45627.133,0.0,0.0,6.0347,181.25905,23.26,"47.0148862689,9.2490818321"
2020-04-16 23:00:00+00:00,5.7456665,49440.125,45812.61,0.0,0.0,5.2416787,261.25388,24.74,"47.0148862689,9.2490818321"
2020-04-17 23:00:00+00:00,4.581083,49632.273,44948.96,1.5,4.0,5.3999996,309.0355,22.77,"47.0148862689,9.2490818321"
2020-04-18 23:00:00+00:00,2.5060833,49822.996,38075.742,0.3,1.0,5.634891,127.250046,19.39,"47.0148862689,9.2490818321"
2020-04-19 23:00:00+00:00,2.5581667,50012.125,30791.295,1.2,7.0,6.6087217,155.76343,16.39,"47.0148862689,9.2490818321"
2020-04-20 23:00:00+00:00,2.8123338,50199.508,42935.094,0.0,0.0,6.379216,161.18546,20.57,"47.0148862689,9.2490818321"
2020-04-21 23:00:00+00:00,2.5560834,50384.98,46275.46,0.0,0.0,8.905908,164.2013,26.36,"47.0148862689,9.2490818321"
2020-04-22 23:00:00+00:00,1.9790001,50568.582,46449.266,0.0,0.0,5.6002855,283.70697,26.79,"47.0148862689,9.2490818321"
2020-04-23 23:00:00+00:00,3.2248335,50751.668,44751.008,0.0,0.0,8.557102,283.47577,20.02,"47.0148862689,9.2490818321"
2020-04-24 23:00:00+00:00,3.2915,50934.395,43337.53,1.5,8.0,5.8603754,276.82913,19.13,"47.0148862689,9.2490818321"
2020-04-25 23:00:00+00:00,2.3748333,51116.63,42017.81,1.9,10.0,5.0142193,275.3144,20.62,"47.0148862689,9.2490818321"
2020-04-26 23:00:00+00:00,1.8852497,51298.227,46658.42,3.3000002,5.0,4.73506,214.79608,21.67,"47.0148862689,9.2490818321"
2020-04-27 23:00:00+00:00,1.01025,51479.05,31828.531,10.3,12.0,5.1919937,241.44049,16.73,"47.0148862689,9.2490818321"
2020-04-28 23:00:00+00:00,-1.3397499,51658.95,28492.88,11.000002,18.0,7.5942082,299.44864,15.53,"47.0148862689,9.2490818321"
2020-04-29 23:00:00+00:00,-0.9584999,51837.785,14723.066,9.2,10.0,5.506941,190.43744,11.9,"47.0148862689,9.2490818321"
2020-04-30 23:00:00+00:00,-1.0855832,52015.39,31880.271,7.0,12.0,3.7585104,233.54897,17.22,"47.0148862689,9.2490818321"
2020-05-01 23:00:00+00:00,-1.5980834,52191.62,22546.21,26.400003,21.0,9.3669195,279.18875,17.81,"47.0148862689,9.2490818321"
2020-05-02 23:00:00+00:00,-1.9022502,52366.305,42609.67,0.8,4.0,5.692099,248.72832,24.99,"47.0148862689,9.2490818321"
2020-05-03 23:00:00+00:00,1.5581669,52539.285,39600.0,2.3,6.0,6.87779,238.58435,20.73,"47.0148862689,9.2490818321"
2020-05-04 23:00:00+00:00,1.4706664,52710.39,1077.6084,22.2,17.0,4.5536795,242.4748,7.83,"47.0148862689,9.2490818321"
2020-05-05 23:00:00+00:00,-0.22933333,52879.445,21973.428,7.499999,10.0,4.6938252,335.1363,12.72,"47.0148862689,9.2490818321"
2020-05-06 23:00:00+00:00,2.68525,53046.273,47384.83,0.0,0.0,5.771239,186.25397,28.87,"47.0148862689,9.2490818321"
2020-05-07 23:00:00+00:00,7.3206673,53210.7,47877.59,0.4,3.0,5.506941,235.78432,24.22,"47.0148862689,9.2490818321"
2020-05-08 23:00:00+00:00,7.704001,53372.52,48582.02,4.2,4.0,5.1544156,178.3317,23.31,"47.0148862689,9.2490818321"
2020-05-09 23:00:00+00:00,6.4998326,53531.562,36349.344,2.6,7.0,9.779817,180.12161,21.65,"47.0148862689,9.2490818321"
2020-05-10 23:00:00+00:00,3.4310834,53687.625,20263.336,13.699999,19.0,11.165805,190.23476,13.56,"47.0148862689,9.2490818321"
2020-05-11 23:00:00+00:00,-0.44391695,53840.508,19728.488,3.9999993,15.0,6.0347,43.87678,14.63,"47.0148862689,9.2490818321"
2020-05-12 23:00:00+00:00,3.7540004,53990.207,12189.452,4.0,8.0,10.446206,166.25996,12.25,"47.0148862689,9.2490818321"
2020-05-13 23:00:00+00:00,2.1415002,54137.914,19189.807,5.7999997,17.0,6.830519,38.138565,11.02,"47.0148862689,9.2490818321"
